@relation MERGED_STAGGERED_test!-weka.filters.unsupervised.attribute.Remove-R69

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute LLE1 numeric
@attribute LLE2 numeric
@attribute LLE3 numeric
@attribute LLE4 numeric
@attribute LLE5 numeric
@attribute LLE6 numeric
@attribute LTSA1 numeric
@attribute LTSA2 numeric
@attribute LTSA3 numeric
@attribute LTSA4 numeric
@attribute LTSA5 numeric
@attribute LTSA6 numeric
@attribute Mod_LLE1 numeric
@attribute Mod_LLE2 numeric
@attribute Mod_LLE3 numeric
@attribute Mod_LLE4 numeric
@attribute Mod_LLE5 numeric
@attribute Mod_LLE6 numeric
@attribute Isomap1 numeric
@attribute Isomap2 numeric
@attribute Isomap3 numeric
@attribute Isomap4 numeric
@attribute Isomap5 numeric
@attribute Isomap6 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute SE1 numeric
@attribute SE2 numeric
@attribute SE3 numeric
@attribute SE4 numeric
@attribute SE5 numeric
@attribute SE6 numeric
@attribute tSNE1 numeric
@attribute tSNE2 numeric
@attribute tSNE3 numeric
@attribute tSNE4 numeric
@attribute tSNE5 numeric
@attribute tSNE6 numeric
@attribute blosum62_val1 numeric
@attribute blosum62_val2 numeric
@attribute blosum62_val3 numeric
@attribute blosum62_val4 numeric
@attribute blosum62_val5 numeric
@attribute blosum62_val6 numeric
@attribute tip_pos numeric
@attribute protrusion numeric
@attribute length numeric
@attribute total_charge numeric
@attribute nr_charged numeric
@attribute Happiness_mean numeric
@attribute Nr_sad numeric
@attribute identity numeric
@attribute similarity numeric
@attribute Hydropathy numeric
@attribute Hydropathy_diff numeric
@attribute Access numeric
@attribute Relacc numeric
@attribute Scacc numeric
@attribute Screlacc numeric
@attribute simlength numeric
@attribute local_CA_nom {>0<1,>1<2,>4<50,>2<3,>3<4}

@data
0.666667,0.25,0,0,0,-0.132606,0.856424,-0.335429,0.079648,-0.335429,-0.132606,-0,0,1,-0,0,-0,0.052525,0.993079,0.052525,0.052525,0.052525,0.052525,-0.609595,0.67474,-7.929663,-0.609595,9.083707,-0.609595,0.589791,0.589791,2.094968,2.825859,-8.926268,2.825859,-0.204124,0,-0.612372,0.204124,0.612372,-0,2295.136475,1140.06665,-1290.369019,-74.858383,-2448.511963,-74.858383,7.988758,7.988758,6.152923,7.988758,10.267884,7.988758,98,7.036131,7,0,0,0.891,0,0.286,0.03,-0.1,0.24,215.837,170.083,177.607,196.434,0.004286,>0<1
1,1,1,1,0.333333,0.031084,-0.543226,0.38657,-0.54156,0.47264,0.194492,0.110827,-0.489365,0.365071,-0.510034,0.591751,-0.068251,0.112757,-0.519206,0.393412,-0.553076,0.50306,0.063052,-2.232928,-8.255893,0.546529,-8.255893,8.31543,9.882755,-9.312282,8.805864,-6.121986,8.805864,1.082505,-3.259966,0.01181,0.379392,-0.292153,0.435614,-0.32363,-0.237715,-282.432404,-152.935608,72.808937,316.899597,-38.32851,187.409485,8.364063,3.364622,10.656989,3.364622,11.168144,8.335739,101,3.967641,16,2,6,0.849,1,0.25,0.036,-3.16,0.33,550.153,364.38,527.162,478.386,0.00225,>4<50
1,1,0,0,0,0.06751,0.076646,-0.526354,0.390021,-0.533238,0.525415,0,0,0,0,1,0,0.106865,0.081342,-0.537349,0.366786,-0.537278,0.519634,-1.611939,-2.106726,-10.10823,9.095542,-10.10823,14.839582,2.166395,-1.976461,9.734595,-9.9366,9.734595,-9.722524,-0.189129,0.019222,0.461085,-0.23271,0.461085,-0.320592,-3004.684082,-1713.139404,752.232605,-567.894714,752.232605,2284.311768,6.567146,9.769712,12.31387,3.849538,12.31387,0.550526,101,5.642194,10,-1,3,0.817,1,0.7,0.691,-1.9,0,337.328,184.758,291.229,195.629,0.0691,>2<3
1,0.25,0,0,0,-0.505153,0.254844,0.240932,0.317901,-0.640664,0.332139,0.65048,-0,0.100074,-0,0.752901,-0,0,0,0,0,1,0,10.881232,6.756201,-4.400701,-13.787113,14.337495,-13.787113,12.557898,-3.567441,-12.507262,-3.567441,10.651688,-3.567441,0.43998,-0.212877,0.146078,-0.212877,0.43998,-0.273855,1272.14502,-2108.637451,2363.202637,126.837967,-1018.289368,126.837967,1.157018,12.539134,5.255432,12.539134,-2.696924,12.539134,99,5.520295,8,0,2,0.922,0,0.625,0.532,0.26,0,125.871,62.484,111.025,64.688,0.0665,>1<2
0.333333,0,0,0,0,-0.361453,0.582776,-0.235738,0.051323,-0.503653,0.466745,-0.281656,0.713135,-0.190002,-0.056091,-0.514402,0.329017,-0.294708,0.629521,-0.266041,-0.098298,-0.452128,0.481654,-11.67952,16.55116,-2.058885,0.912992,-15.771756,12.046009,-12.06542,-0.795693,6.566338,4.120929,-10.336893,12.51074,-0.293582,0.401014,-0.240608,0.086604,-0.396484,0.361918,291.653076,-636.359375,547.518311,-154.174515,-380.510468,65.312416,1.36065,16.727588,1.321104,5.291255,-2.86043,10.844161,96,5.570016,5,-1,1,0.884,0,0.8,0.545,0.18,0,237.104,131.269,160.899,98.141,0.109,>0<1
0.666667,0,0,0,0,-0.288674,-0.288674,0.576342,-0.288675,-0.288675,0.578357,-0.480747,-0.483351,0.199564,-0.483351,-0.487348,0.155861,-0.287881,-0.289733,0.577054,-0.289396,-0.287688,0.577644,0.236522,-6.660103,-10.15358,14.880242,11.8505,-10.15358,6.448411,-5.650377,6.166675,-5.650377,-13.128033,11.8137,0.011707,-0.220721,0.46515,-0.220721,-0.326967,0.46515,2713.864014,-109.164711,-1190.602417,1683.702148,772.772034,-1190.602417,5.918396,12.033275,5.58786,12.033275,7.985323,5.58786,101,5.602607,6,-1,1,0.863,0,0.5,0.429,0.64,0.07,136.016,79.275,121.274,83.735,0.0715,>0<1
0,0,0,0,0,-0.150089,-0.475286,0.217484,0.518207,-0.518652,0.408337,-0.197226,-0.266588,-0.109967,-0.008235,-0.304182,0.886197,-0.05063,-0.415663,0.002903,0.440999,-0.550018,0.572409,-1.49905,-11.019981,0.968739,11.268565,-13.602689,13.884415,7.523513,11.254981,-5.781384,-4.918665,5.450892,-13.529337,-0.174517,-0.338739,0.174517,0.338739,-0.359974,0.359974,295.873535,-359.559601,-19.001474,-178.856659,136.015671,476.588013,6.98781,11.017128,2.097663,-3.560142,12.065153,-3.100471,99,8.989809,13,1,3,0.885,0,0.923,0.887,-1.13,0,598.457,320.319,527.163,338.614,0.068231,>0<1
1,1,0.25,0,0,-0.288674,0.576397,-0.288676,-0.288675,-0.288676,0.578303,-0.055586,-0.992246,-0.055586,-0.055586,-0.055586,-0.055586,-0.285162,0.577059,-0.288502,-0.289462,-0.291562,0.577629,0,15.716234,-0,-0,-0,-15.716234,-11.162177,-6.166206,11.750273,3.486046,8.25827,-6.166206,0.011707,0.46515,-0.220721,-0.220721,-0.326967,0.46515,153.853043,293.014954,-350.920197,30.75209,-211.745499,-88.645638,6.160094,-5.027274,9.338705,6.504137,11.160224,-5.027274,101,4.635958,10,-1,1,0.939,0,0.7,0.544,0.31,0,493.747,274.46,384.929,254.907,0.0544,>2<3
1,0,0,0,0,-0.432317,0.534236,0.538179,-0.473407,-0.078394,-0.088296,0,0,0,0,0,1,-0.234034,0.395828,0.465553,-0.405966,-0.548009,0.326628,1.107773,6.434989,-12.900751,-1.358489,-9.185011,15.90149,9.91762,5.075748,5.075748,-9.910031,-7.796743,-2.362342,0.028394,0.450503,0.301929,-0.327492,-0.251566,-0.319679,842.52594,-61.645874,-897.667542,362.775024,-1377.488647,-473.228821,7.501749,11.723823,11.723823,7.144334,9.89729,0.640317,98,5.913442,8,-2,2,0.877,0,0.75,0.667,-0.36,0,258.238,163.083,206.446,132.814,0.083375,>1<2
1,1,0,0,0,0.158368,0.407518,-0.544853,0.461969,-0.5431,0.060098,-0.062025,0.189774,-0.021351,-0.978402,-0.021351,-0.044236,-0.376032,-0.186402,0.536458,-0.42286,0.582559,-0.133723,-1.146199,9.356252,-9.774171,13.834351,-9.774171,-2.496061,1.124457,7.529422,-6.007895,13.132779,-6.007895,-9.770867,0.011029,0.451406,-0.258949,0.478754,-0.321547,-0.095868,-882.27063,153.270309,-356.53125,1273.16748,-1476.58728,678.968811,6.507806,1.234715,12.611712,1.943719,12.611712,5.879788,99,6.224681,11,0,0,0.956,0,0.364,0.113,0.25,0.28,237.613,160.998,228.064,207.559,0.010273,>2<3
0,0,0,0,0,-0.408278,-0.378866,0.314405,0.450449,-0.429176,0.451466,-0.231506,-0.1969,0.35577,0.385022,-0.696577,0.384191,-0.305278,-0.235639,0.313377,0.423538,-0.624536,0.428538,7.552016,3.228751,-9.302473,-12.472944,15.923947,-4.929297,-5.937172,6.180377,-10.467161,-2.086009,14.395975,-2.086009,-0.053649,-0.053649,0.404708,0.404708,-0.053649,0.404708,516.012573,-348.436035,1408.80188,-1408.269897,2418.382568,-1408.269897,0.767273,1.120983,12.530304,12.378239,-2.805073,12.378239,101,4.906581,4,-1,1,0.901,0,0.75,0.739,0.16,0,87.264,42.588,80.298,46.477,0.18475,>0<1
0,0,0,0,0,-0.310713,-0.31224,-0.382221,0.641336,-0.120048,0.483887,0.063408,0.989898,0.063408,0.063408,0.063408,0.063408,-0.286636,-0.305767,-0.360173,0.691166,-0.171573,0.432983,-1.002073,-13.862992,-1.683807,14.808885,-5.998106,7.738094,-3.648063,12.068512,-5.025221,7.505253,-0.426748,-10.473732,-0.045249,-0.226118,-0.24205,0.480616,-0.226118,0.480616,-596.921204,377.77301,140.047836,646.515137,-90.47757,-328.197784,9.42065,8.074269,8.725753,3.454286,9.363867,9.214509,99,8.443326,16,0,6,0.836,0,0.938,0.942,-4.69,0,728.374,422.554,595.344,430.852,0.058875,>0<1
1,0.75,0,0,0,0.320643,-0.378685,-0.338622,0.443864,-0.49317,0.445969,0.361095,-0.361651,-0.254407,0.414799,-0.57452,0.414685,-0.345485,0.178817,0.404648,-0.412658,0.58703,-0.412352,-6.39205,8.403439,5.16412,-9.265041,11.354573,-9.265041,-2.174589,6.975641,2.558909,9.448152,-13.840702,-2.967411,0.28862,0.288731,0.288731,0.28862,0.288731,0.28862,2454.959473,1401.942017,-433.030365,-1540.332764,469.584595,-1540.332764,11.372595,2.306678,1.107579,12.970305,-1.062822,12.970305,101,4.209492,11,-1,3,0.867,1,0.455,0.316,-0.47,0.19,290.42,181.209,240.185,183.582,0.028727,>1<2
1,1,1,0.75,1,0.07057,0.459715,-0.495857,0.465646,-0.563043,0.06297,0.051171,-0.10136,0.261698,0.499376,-0.811823,0.100938,0.111197,-0.523333,0.383902,-0.545431,0.515237,0.058428,0.319446,-10.324655,9.054948,-11.973686,13.330739,-0.406793,7.363134,4.434417,-11.68037,-0.336704,-9.067014,9.286537,-0.046241,0.331188,-0.331188,0.523655,-0.523655,0.046241,681.446167,-32.119072,-262.281891,191.077698,-522.465576,421.245331,5.788145,8.614622,8.035425,12.812787,3.545776,7.090002,100,10.571344,25,1,5,0.866,2,0.08,-0.169,0.3,0.01,1211.278,791.82,896.085,679.709,-0.00676,>4<50
1,1,1,0.5,0,-0.288676,0.578357,-0.288677,-0.288673,-0.288674,0.576343,-0.448796,0.735455,-0.448796,-0.22796,0.065606,0,-0.358822,0.57276,-0.3412,-0.24073,-0.204021,0.572014,0,-13.527749,-0,0,-0,13.527749,-8.848788,-5.300569,-3.78256,1.507773,12.149236,4.274908,-0.226118,0.480616,-0.24205,-0.045249,-0.226118,0.480616,-281.212189,151.115921,618.727844,-529.321716,-61.726757,370.605347,9.651256,2.031638,9.651256,6.134983,9.887105,2.031638,101,4.839241,19,0,2,0.919,1,0.526,0.409,-1.9,0,666.094,474.237,469.544,377.144,0.021526,>3<4
0,0,0,0,0,0.271255,-0.619589,0.317943,0.243084,0.317762,-0.530453,-0.013139,0.278827,-0.026248,0.056899,-0.026248,0.957845,-0.249514,0.648571,-0.36789,-0.158222,-0.353994,0.48105,-5.085773,17.689253,-11.921289,-1.186047,-11.921289,12.425145,4.0114,16.643068,-10.681243,2.118226,-10.681243,-1.410207,-0.212877,0.43998,-0.212877,0.146078,-0.273855,0.43998,-596.980286,-2478.880127,1306.078979,257.954956,1306.078979,-1480.141846,10.310518,-5.49344,12.492711,7.537646,12.492711,-4.056377,101,6.491337,5,-2,2,0.892,0,0.8,0.778,-0.89,0,233.667,139.168,166.654,122.958,0.1556,>0<1
0,0,0,0,0,0.271255,-0.619589,0.317943,0.243084,0.317762,-0.530453,-0.013139,0.278827,-0.026248,0.056899,-0.026248,0.957845,-0.249514,0.648571,-0.36789,-0.158222,-0.353994,0.48105,-5.085773,17.689253,-11.921289,-1.186047,-11.921289,12.425145,-11.561234,12.546999,-7.852816,0.279781,-7.852816,14.440087,-0.212877,0.43998,-0.212877,0.146078,-0.273855,0.43998,-596.980286,-2478.880127,1306.078979,257.954956,1306.078979,-1480.141846,10.310518,-5.49344,12.492711,7.537646,12.492711,-4.056377,101,6.495312,5,-2,2,0.889,0,0.8,0.778,-0.89,0,216.119,129.054,152.864,114.693,0.1556,>0<1
1,0.75,0,0,0,0.289288,0.468094,-0.391415,-0.334151,-0.480576,0.44876,0.186593,0.229637,-0.900694,0.101615,0.09765,0.285198,0.173654,0.368623,-0.372582,-0.374637,-0.414148,0.61909,-1.249391,-9.226509,11.699474,1.582442,8.600731,-11.406747,-2.290601,-10.298282,3.132583,9.581897,6.989569,-7.115166,-0.174517,-0.338739,0.359974,0.174517,0.338739,-0.359974,-404.94516,497.074188,745.775024,63.737995,277.075317,-156.257706,8.938241,8.945841,9.639979,4.468853,4.854041,8.30667,99,11.957059,18,1,3,0.842,1,0.944,0.931,1.24,0,728.633,527.476,482.618,372.501,0.051722,>1<2
1,0.75,0,0,0,-0.244283,0.56745,-0.237555,-0.331714,-0.336066,0.582168,-0.235967,-0.045702,-0.209511,-0.182603,-0.22791,0.901693,-0.314648,0.570807,-0.279218,-0.262125,-0.297771,0.582955,-1.590614,12.373514,-1.694682,-11.104411,-11.292213,13.308405,-5.49799,-13.750355,1.321038,6.056971,-1.966369,13.836705,-0.24174,0.476237,-0.036707,-0.180249,-0.273192,0.476237,734.707031,279.020905,71.602814,-142.272552,-383.990875,492.915283,7.349604,-0.512688,6.78078,10.335089,11.575377,-1.431316,98,6.037722,9,-1,1,0.893,0,0.667,0.708,0.04,0,239.765,166.417,158.778,98.068,0.078667,>1<2
1,1,0.75,0,0,-0.149687,-0.149171,-0.408506,0.556972,-0.40799,0.558382,0.182082,0.182082,-0.412141,0.573365,-0.412141,-0.515001,0,0,0,-0.707107,0,-0.707107,0,-0,-0,-15.716234,0,15.716234,9.572078,9.572078,-10.848273,1.276196,-4.333333,-5.238745,-0.036959,-0.16861,-0.250202,0.475695,-0.279541,0.475695,2071.277344,-2510.073486,-1392.379395,-219.113495,954.040588,-219.113495,7.129773,7.129773,12.380244,-3.411676,12.380244,-3.411676,101,5.038284,10,-1,3,0.82,1,0.6,0.517,-1.15,0,369.998,190.026,334.943,204.309,0.0517,>2<3
1,0.5,0,0,0,0.331483,-0.400842,-0.393764,-0.391624,0.260446,0.594301,0,0,0,0,0,1,0,0,0,0,0,1,-5.20776,8.950579,-8.060651,-8.060651,-0.215812,12.594295,7.420387,-6.74099,-6.74099,-6.74099,9.527118,3.275465,0.377147,-0.226288,-0.133159,-0.313042,0.242817,0.539925,305.855804,126.058464,213.362625,37.938812,-57.55864,424.439636,5.612458,12.808827,12.808827,12.808827,5.654049,3.276298,98,5.949588,7,0,0,0.872,0,0.571,0.553,2.48,0.59,249.397,200.331,144.118,100.214,0.079,>1<2
1,1,0,0,0,-0.341904,-0.370505,0.158563,0.528453,-0.456931,0.482324,-0.262801,-0.363208,0.313,0.466086,-0.562385,0.409308,-0.269525,-0.352764,0.088526,0.510324,-0.50518,0.52862,2.559999,13.132181,-2.301613,-14.215765,14.542019,-13.716821,-3.66846,-8.386481,12.533769,8.182083,-13.950764,5.289853,0.156491,0.156491,0.377064,0.377064,0.156491,0.377064,195.341248,13.743303,-549.230896,-343.950043,-162.355011,400.635162,1.627225,3.349988,7.678936,12.852616,-1.470538,11.334834,99,5.631398,8,-1,1,0.934,0,0.5,0.404,1.99,0,102.576,57.998,58.346,34.878,0.0505,>2<3
1,1,0,0,0,0.152435,-0.570458,0.376348,0.263737,-0.566822,0.344759,0,0,0,0,0,1,0.353115,-0.613347,0.398244,0.194081,-0.517974,0.185881,3.415878,-9.683526,-1.112086,-1.364657,-6.828941,15.573331,-11.600865,5.076404,11.033445,2.901061,1.628378,-9.038422,-0.360581,0.309217,-0.247329,-0.042685,0.477227,-0.360581,110.83313,331.36145,-103.021935,580.649963,-572.858948,-323.554504,9.24859,12.226365,9.589015,6.232301,12.226365,-1.346437,101,5.840339,5,-2,2,0.842,0,0.6,0.483,-1.52,0,173.035,141.035,109.274,100.434,0.0966,>2<3
1,0.25,0,0,0,-0.151686,0.390498,-0.510418,0.390229,-0.509124,0.3905,0.219696,-0.417592,0.544779,-0.096946,0.544779,-0.417592,-0.132613,0.408928,-0.490279,0.408928,-0.490279,0.408928,-2.272785,14.102898,6.589342,-12.504398,6.589342,-12.504398,12.19145,-9.134312,7.605743,-9.134312,7.605743,-9.134312,0.408181,-0.007429,0.408181,-0.007429,0.408181,-0.007429,17.603876,-2859.424316,-1809.285889,1119.232056,-880.99292,1119.232056,-0.423292,12.048166,-5.781551,12.048166,-5.781551,12.048166,101,5.696903,11,-2,2,0.905,0,0.909,0.913,-0.67,0,461.683,280.733,380.347,233.504,0.083,>1<2
1,1,0.5,0,0,-0.117684,-0.391984,-0.462921,-0.117587,0.616275,0.473901,0.037236,0.035225,-0.860798,0.037236,0.503242,0.041956,-0.200412,-0.334573,-0.409304,-0.167775,0.686176,0.425888,-0.944596,-7.123472,-11.964497,-0.944596,13.130134,7.847027,3.453977,-6.573397,10.608757,-7.090214,-2.078523,1.679401,-0.133151,-0.24528,-0.438321,0.087603,0.574963,0.4088,510.040527,-788.453979,-18.831379,-259.562256,229.411285,-507.812073,6.745569,3.890334,4.417616,6.745569,8.990913,9.521197,100,4.993686,11,-3,5,0.845,1,0.273,-0.031,-3.96,0.1,611.423,345.886,489.116,350.95,-0.002818,>2<3
1,0.75,0,0,0,0.562524,0.041079,-0.683747,0.144196,-0.341482,0.27743,0,0,0,0,0,1,-0.333718,-0.541897,-0.299037,0.491042,0.217764,0.465847,3.40641,-7.881701,-1.196456,-10.37515,1.115323,14.931574,6.258221,-3.575425,-8.533773,-7.039741,9.45966,3.431058,-0.353364,-0.34362,0.0036,0.417598,0.316999,-0.035726,-887.828186,529.722717,920.513855,184.005341,-151.250534,-496.979858,7.973979,9.821735,6.973241,11.096662,5.36423,0.656116,98,6.698007,9,0,0,0.889,0,0.444,0.44,-0.4,0,308.488,186.916,256.314,158.376,0.048889,>1<2
