@relation 'new_2-weka.filters.unsupervised.attribute.Remove-R50,54-58,60-62,82,84-85-weka.filters.unsupervised.attribute.NumericToNominal-R53-weka.filters.unsupervised.attribute.Remove-R73-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R67-70-weka.filters.unsupervised.attribute.Remove-R57-weka.filters.unsupervised.attribute.Remove-R1'

@attribute LLE1 numeric
@attribute LLE2 numeric
@attribute LLE3 numeric
@attribute LLE4 numeric
@attribute LLE5 numeric
@attribute LLE6 numeric
@attribute LTSA1 numeric
@attribute LTSA2 numeric
@attribute LTSA3 numeric
@attribute LTSA4 numeric
@attribute LTSA5 numeric
@attribute LTSA6 numeric
@attribute Mod_LLE1 numeric
@attribute Mod_LLE2 numeric
@attribute Mod_LLE3 numeric
@attribute Mod_LLE4 numeric
@attribute Mod_LLE5 numeric
@attribute Mod_LLE6 numeric
@attribute Isomap1 numeric
@attribute Isomap2 numeric
@attribute Isomap3 numeric
@attribute Isomap4 numeric
@attribute Isomap5 numeric
@attribute Isomap6 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute SE1 numeric
@attribute SE2 numeric
@attribute SE3 numeric
@attribute SE4 numeric
@attribute SE5 numeric
@attribute SE6 numeric
@attribute tSNE1 numeric
@attribute tSNE2 numeric
@attribute tSNE3 numeric
@attribute tSNE4 numeric
@attribute tSNE5 numeric
@attribute tSNE6 numeric
@attribute blosum62_val1 numeric
@attribute blosum62_val2 numeric
@attribute blosum62_val3 numeric
@attribute blosum62_val4 numeric
@attribute blosum62_val5 numeric
@attribute blosum62_val6 numeric
@attribute tip_pos numeric
@attribute tip_res {S,D,R,W,F,P,G,Y,H,V,E,I,L,N,A,C,T,Q,K,M}
@attribute protrusion numeric
@attribute local_CA_nom {1,2,3,4,5}
@attribute length numeric
@attribute total_charge numeric
@attribute nr_charged numeric
@attribute Nr_sad numeric
@attribute identity numeric
@attribute similarity numeric
@attribute Hydropathy numeric
@attribute Hydropathy_diff numeric
@attribute Access numeric
@attribute Relacc numeric
@attribute Scacc numeric
@attribute Screlacc numeric
@attribute simlength numeric

@data
-0.406107,0.133917,-0.404678,0.513855,0.515122,-0.352109,0,0,0,0,0,1,0.310662,-0.209977,0.307602,-0.488203,-0.471532,0.551448,3.003914,-2.596283,0.256994,-8.082898,-8.832362,16.250636,8.568599,2.450999,8.568599,-8.934513,-8.934513,-1.719171,0.308447,-0.141092,0.308447,-0.308447,-0.308447,0.423276,2944.457764,1845.210205,-1564.996216,-254.875565,-254.875565,870.576904,7.740955,10.802126,7.740955,12.229023,12.229023,-1.28391,99,R,5.449467,1,8,1,5,2,0.875,0.932,-4.5,0,267.217,139.04,216.439,129.987,0.1165
-0.169804,-0.325284,0.563807,-0.244216,-0.398275,0.573772,-0.174941,-0.266718,0.302518,-0.318166,-0.3195,0.776808,-0.197452,-0.288916,0.488048,-0.299331,-0.353893,0.651544,0.67268,10.851279,-13.256059,1.71617,13.906837,-13.890907,2.507967,5.211311,-8.305027,-11.985819,-1.361836,13.933405,0.019222,-0.23271,0.461085,-0.189129,-0.320592,0.461085,-12.012333,-421.271149,-213.497375,195.766113,430.6539,-656.143311,7.187542,10.873121,-1.720118,9.836168,11.659455,-1.099768,101,D,5.40133,1,10,-1,1,0,0.6,0.475,0.26,0,448.358,295.071,379.736,281.494,0.0475
-0.337135,-0.529816,0.485174,0.49026,-0.303242,0.19476,0,0,0,0,0,1,-0.2482,-0.463187,0.563657,0.564718,-0.220734,-0.196254,-1.040728,-8.905629,-0.685928,4.483175,-11.274317,17.423426,6.790027,5.58593,-3.922044,-3.922044,10.898,-15.42987,-0.308447,-0.308447,0.308447,0.308447,-0.141092,0.423276,332.802429,503.594666,167.179001,696.667297,-3.615831,-196.696579,6.878568,8.287263,11.402082,11.402082,10.738399,3.510877,97,G,5.479181,2,16,0,2,0,0.438,0.39,-0.07,0.5,486.334,364.899,300.434,269.463,0.024375
-0.137682,-0.33862,0.576787,-0.215087,-0.433039,0.547641,-0.201286,-0.270961,0.334942,-0.313002,-0.310812,0.76112,-0.257163,-0.295278,0.641255,-0.275749,-0.32003,0.506965,0.701703,10.891518,-13.774,1.344915,13.953597,-13.117734,6.886106,3.71123,-2.929614,11.810644,-12.031645,-7.446721,0.019222,-0.23271,0.461085,-0.189129,-0.320592,0.461085,-150.882355,-211.70784,-85.100197,-180.832077,-120.003967,-246.605042,7.366815,10.828249,-0.642824,9.991373,11.547171,-0.427509,101,D,5.23295,2,11,-1,1,0,0.636,0.524,-0.35,0,187.742,128.768,153.045,136.156,0.047636
-0.289533,0.578213,-0.287806,-0.28868,0.576486,-0.28868,-0.203157,0.575051,-0.203157,0.20232,0.575051,-0.463848,0.289138,-0.577519,0.288801,0.288388,-0.577182,0.288373,-1.724957,-11.358499,-1.724957,12.728788,-11.358499,13.438125,-9.48582,-1.970081,-9.48582,2.756827,4.121808,14.063086,-0.16861,-0.250202,-0.036959,0.475695,-0.279541,0.475695,-245.237167,-464.600922,-32.856831,185.827545,-713.052734,432.712952,7.658279,12.388,7.658279,-0.841365,12.388,-1.525803,101,D,5.20944,3,20,-2,4,2,0.4,0.262,-2.45,0.52,713.397,363.557,624.809,375.969,0.0131
0.080825,-0.195851,0.51561,-0.439829,-0.477889,0.517134,0.169857,0.15639,0.442947,-0.464932,-0.646114,0.341853,0.089556,0.065336,0.460443,-0.551687,-0.516241,0.452593,-2.900342,0.74242,-9.568876,10.265411,11.030264,-9.568876,-2.193052,7.70876,-1.145144,-11.549559,11.756016,-4.577021,-0.145164,0.290328,-0.305731,0.290328,0.393716,-0.305731,735.569519,1715.30127,-395.866272,2820.813721,-1714.171265,-395.866272,4.799236,9.667987,2.043688,9.481371,11.879338,2.043688,100,D,8.985829,4,21,-2,8,1,0.286,0.125,-3.79,0,1575.006,998.252,1152.5,897.087,0.005952
-0.268254,-0.305698,-0.237372,0.58563,-0.339818,0.565512,0.218689,0.184628,0.193804,-0.90891,0.209764,0.102025,-0.199315,-0.371779,-0.315199,0.616397,-0.256419,0.526315,-8.1251,-0.59372,-5.867922,15.445906,-13.260891,12.401726,6.604375,1.953774,-12.257392,-2.175313,-8.228661,14.103217,-0.065984,-0.27403,-0.065984,0.475346,-0.27403,0.475346,4.332527,-121.701042,134.287262,-251.652634,281.200165,-398.55722,6.463342,10.152667,10.659935,1.616892,10.917812,0.32639,99,G,8.071984,2,10,-1,1,0,0.4,0.107,0.82,0,156.467,94.956,114.893,79.902,0.0107
0.513863,0.083858,0.076704,-0.550643,-0.515851,0.392069,0.42823,-0.217806,0.581709,0.464109,0.464109,0,0.271139,0.305461,-0.268772,-0.472296,-0.429797,0.594264,2.884408,1.3749,-3.296392,-8.157639,-8.87406,16.068783,-10.709471,7.404288,-6.453196,-1.894444,8.915196,2.737626,0.308889,0.308889,-0.213102,-0.213102,-0.308889,0.447731,2759.279541,-1860.204346,632.64209,-520.120544,-520.120544,1631.485107,6.722292,8.378798,10.239353,12.643221,12.643221,-1.318468,101,D,5.533811,2,11,-1,3,0,0.455,0.417,-1.74,0,140.513,72.973,125.005,80.774,0.037909
-0.268204,-0.427258,0.525895,0.07319,-0.430847,0.527225,-0.185503,-0.375041,0.522748,0.078253,-0.542112,0.501655,-0.071507,-0.427707,0.49515,0.107572,-0.576087,0.47258,0.694286,10.433842,-10.335889,-2.856264,12.399914,-10.335889,-6.566209,5.007637,10.88605,2.151602,-12.346714,0.867635,0.174517,0.338739,-0.338739,-0.174517,0.359974,-0.359974,-119.81781,-83.816719,-102.09317,-63.26609,-158.602905,-138.006897,6.968194,7.347629,8.335427,10.880893,6.997152,8.335427,98,S,5.673271,2,16,2,4,0,0.375,0.219,-1.17,0,410.93,238.148,314.838,210.329,0.013687
0.470772,-0.19413,0.444574,0.249895,-0.552882,-0.418228,0.002373,0.002373,0.002373,0.999986,0.002373,0.002373,-0.444112,-0.047278,-0.529246,0.003603,0.468285,0.548748,-0.046427,4.847323,0.37129,19.08555,-10.408905,-13.84883,10.966519,-7.287071,2.229579,10.199291,-12.87866,-3.229659,-0.009578,-0.168214,-0.258946,-0.258946,0.449508,0.640739,1125.10376,731.200256,382.734009,44.813103,-303.664429,-697.602417,3.733666,10.068777,3.95118,12.917729,5.888992,6.602537,99,S,6.275289,1,18,-2,4,0,0.889,0.873,-1.85,0,959.678,538.149,799.774,552.78,0.0485
0.039491,0.502438,-0.391791,-0.323716,-0.399339,0.572916,-0.17209,-0.153401,-0.191574,-0.184525,-0.21045,0.912039,-0.213801,0.431534,-0.2859,-0.305452,-0.324674,0.698294,0.005283,9.910125,-10.972779,-1.771082,-11.095052,13.923505,-2.331233,-6.144334,2.17535,4.498323,-11.616898,13.418792,0.086604,0.361918,-0.293582,-0.240608,-0.396484,0.401014,-257.25293,75.858315,-36.300892,-384.041962,202.647507,-145.093262,7.873166,8.78619,10.044231,6.052998,10.399891,2.861933,101,D,5.130563,2,13,0,2,0,0.538,0.402,-0.1,0,301.803,191.692,270.92,201.495,0.030923
-0.289715,0.640672,-0.250637,-0.308322,-0.299788,0.50779,0.178198,-0.912435,0.184568,0.195191,0.196167,0.158312,-0.322235,0.651124,-0.235716,-0.326041,-0.25988,0.492748,-2.008824,15.079422,-7.106908,-5.059059,-14.671238,13.766606,0.143583,8.021313,-12.453188,-6.773519,13.35579,-2.293979,-0.065984,0.475346,-0.065984,-0.27403,-0.27403,0.475346,253.672104,-550.922058,31.846367,-354.683533,-164.387299,-772.760376,3.066141,16.650111,5.898343,1.572272,0.434381,10.231924,101,D,6.087747,2,16,-3,3,1,0.5,0.316,-1.45,0,1118.709,587.463,983.597,604.261,0.01975
-0.353397,0.532083,-0.338696,0.489022,-0.467835,0.138822,-0.314631,0.443232,-0.234453,0.422738,-0.617065,0.300179,-0.279938,0.510352,-0.319969,0.530614,-0.520511,0.079451,2.592879,-13.77054,12.300957,-13.872827,14.707821,-1.95829,3.688012,-10.010536,12.851138,-12.34557,9.561144,-3.744187,0.312131,0.263137,0.312131,0.263137,0.312131,0.263137,668.460144,-90.286301,283.259521,-910.991211,-475.502899,1103.88208,1.195421,12.803503,2.112458,11.350867,-2.259367,7.897768,99,Y,6.35696,1,10,-1,1,0,0.8,0.806,0.31,0.52,127.159,79.986,100.897,80.921,0.0806
-0.424526,0.339549,-0.442778,0.151771,0.643358,-0.267373,0,0,0,0,0,1,0.326163,-0.223228,0.297313,-0.481948,-0.468945,0.550644,2.486984,-8.926613,-0.420088,2.737414,-11.756559,15.878862,-3.395807,10.088744,0.885937,-1.671059,8.466138,-14.373952,-0.230845,0.244618,-0.15375,0.105254,0.507814,-0.492783,-176.948135,-1054.294312,222.416931,1099.818115,634.257141,-588.775391,8.921084,10.170047,8.921084,8.748546,10.962722,-0.286332,99,H,8.58098,4,21,3,11,4,0.333,0.137,-9.44,0.27,617.432,350.22,582.354,410.605,0.006524
-0.132606,0.856424,-0.335429,0.079648,-0.335429,-0.132606,-0,0,1,-0,0,-0,0.052525,0.993079,0.052525,0.052525,0.052525,0.052525,-0.609595,0.67474,-7.929663,-0.609595,9.083707,-0.609595,0.589791,0.589791,2.094968,2.825859,-8.926268,2.825859,-0.204124,0,-0.612372,0.204124,0.612372,-0,2295.136475,1140.06665,-1290.369019,-74.858383,-2448.511963,-74.858383,7.988758,7.988758,6.152923,7.988758,10.267884,7.988758,98,V,7.036131,1,7,0,0,0,0.286,0.03,-0.1,0.24,215.837,170.083,177.607,196.434,0.004286
0.031084,-0.543226,0.38657,-0.54156,0.47264,0.194492,0.110827,-0.489365,0.365071,-0.510034,0.591751,-0.068251,0.112757,-0.519206,0.393412,-0.553076,0.50306,0.063052,-2.232928,-8.255893,0.546529,-8.255893,8.31543,9.882755,-9.312282,8.805864,-6.121986,8.805864,1.082505,-3.259966,0.01181,0.379392,-0.292153,0.435614,-0.32363,-0.237715,-282.432404,-152.935608,72.808937,316.899597,-38.32851,187.409485,8.364063,3.364622,10.656989,3.364622,11.168144,8.335739,101,D,3.967641,3,16,2,6,1,0.25,0.036,-3.16,0.33,550.153,364.38,527.162,478.386,0.00225
-0.286145,-0.290636,-0.289055,0.565743,-0.288706,0.588798,-0.18748,-0.338951,-0.338951,0.597699,-0.571488,0.226347,-0.195044,-0.373025,-0.372636,0.54725,-0.195105,0.588561,1.907584,14.046106,-2.332593,-13.531737,13.350776,-13.440137,2.161178,4.463397,-9.838235,11.881858,-8.541775,-0.126422,0.011707,-0.220721,-0.220721,0.46515,-0.326967,0.46515,-1911.078247,-577.312256,-577.312256,568.414551,2680.481934,1560.635376,6.521499,12.30791,12.30791,2.330933,9.267066,1.930077,101,D,4.538169,3,20,1,3,0,0.2,-0.086,2.74,0.46,618.474,378.171,515.989,410.047,-0.0043
-0.058122,0.166667,-0.524466,0.423705,-0.510954,0.503169,0.158013,0.278545,-0.086264,-0.793726,-0.062614,0.506045,-0.056175,-0.029268,-0.454188,0.596209,-0.493388,0.436811,-2.56189,-1.910328,-10.687699,15.23173,-10.687699,10.615887,-3.484814,-11.571686,-2.009776,9.96389,-6.343109,13.445495,0.097192,-0.196172,0.355285,-0.308669,0.391501,-0.367025,-39.262257,-205.675812,288.529388,122.113922,476.657166,-393.799591,6.737139,7.759979,12.544847,-1.634799,12.544847,0.079028,98,E,6.946555,1,8,0,4,1,0.625,0.583,-0.94,0,318.793,180.977,285.689,201.035,0.072875
-0.280272,0.573964,-0.082452,-0.400937,-0.355968,0.545666,0.229852,-0.446106,-0.391148,0.428378,0.534275,-0.355252,-0.193025,0.573601,-0.115568,-0.288606,-0.506272,0.52987,5.73537,-11.411785,-6.028715,12.371306,9.350069,-10.016246,-2.697235,-5.82193,12.497426,-12.165764,1.425021,6.762484,0.338739,-0.338739,-0.174517,0.174517,0.359974,-0.359974,-134.905472,50.155579,456.737671,240.996338,-541.470337,-325.743439,1.992997,12.097946,8.932495,3.003969,-1.363372,10.373896,101,D,5.027204,1,10,-1,3,0,0.6,0.426,0.26,0,470.818,255.586,423.444,282.64,0.0426
0.23191,-0.62656,0.34021,0.231822,0.340508,-0.517891,-0.36435,0.487026,-0.130892,-0.272263,-0.130892,-0.722261,0.145055,0.440992,-0.556143,0.146002,-0.556143,0.380235,-2.991403,16.473468,-11.813201,-2.964942,-11.813201,13.10928,-3.778332,8.443562,-7.138997,-12.40838,11.433697,3.448451,0.011029,0.451406,-0.258949,-0.095868,-0.321547,0.478754,90.78019,17.742094,-126.110611,-208.657394,173.339035,-53.084404,5.235157,-6.668214,12.301116,7.007279,12.301116,-5.051125,101,D,6.478034,1,5,-2,2,0,0.8,0.778,-0.89,0,205.736,124.385,138.923,103.237,0.1556
0.06751,0.076646,-0.526354,0.390021,-0.533238,0.525415,0,0,0,0,1,0,0.106865,0.081342,-0.537349,0.366786,-0.537278,0.519634,-1.611939,-2.106726,-10.10823,9.095542,-10.10823,14.839582,2.166395,-1.976461,9.734595,-9.9366,9.734595,-9.722524,-0.189129,0.019222,0.461085,-0.23271,0.461085,-0.320592,-3004.684082,-1713.139404,752.232605,-567.894714,752.232605,2284.311768,6.567146,9.769712,12.31387,3.849538,12.31387,0.550526,101,D,5.642194,2,10,-1,3,1,0.7,0.691,-1.9,0,337.328,184.758,291.229,195.629,0.0691
-0.281356,-0.281394,-0.295388,0.606001,-0.295464,0.5476,-0,-0,-0,-0.707107,0,0.707107,-0.282081,-0.280833,-0.294173,0.607359,-0.296418,0.546147,-1.174698,-1.174698,-13.498678,15.412636,-13.676552,14.11199,9.750423,-9.750423,3.55819,-7.316461,8.738153,-4.979882,-0.076695,-0.124796,-0.235891,0.492227,-0.301804,0.479544,-69.224037,-108.831062,-166.463608,-90.264946,-126.882111,-145.459198,9.034389,9.034389,10.075596,2.959971,9.39291,2.972398,99,G,10.747162,2,15,2,6,1,0.533,0.472,-4.94,0,805.681,444.494,678.732,400.294,0.031467
-0.368395,0.465175,-0.279753,0.476447,-0.533758,0.240284,-0.380802,0.061846,-0.198979,0.027778,-0.342575,0.832732,0.585658,-0.394081,0.058633,-0.314702,0.477864,-0.413372,-11.866093,3.419962,-2.193651,6.481223,-8.537787,12.696346,11.332312,-1.075874,-9.265832,0.12968,-8.106379,6.986092,-0.308447,0.308447,-0.141092,0.308447,-0.308447,0.423276,-216.737869,20.956482,-96.04055,277.994385,141.638519,-353.092346,2.63205,12.099627,4.853415,12.30666,1.147104,7.85284,98,G,9.323733,1,7,-1,1,1,0.429,0.314,0.71,0,429.714,280.815,312.946,232.485,0.044857
-0.433206,-0.540633,-0.193961,0.456807,0.253031,0.457963,-0.309876,-0.463321,-0.426939,0.338714,0.533864,0.32756,0.29309,0.453443,0.438433,-0.303221,-0.574259,-0.307487,-11.04596,-13.559766,-1.547342,4.799258,18.37859,2.97522,-11.582253,-4.595543,1.856575,-5.503154,8.987887,10.836488,0.406838,0.406838,0.406838,0.033907,0.033907,0.033907,2191.457275,-2380.891846,1077.286743,-93.767899,-1265.041992,-93.767899,-0.803572,-2.138119,1.880282,12.039668,8.737816,12.039668,101,I,6.257925,1,5,1,1,0,0.4,0.103,0.31,0,165.751,93.448,131.012,83.921,0.0206
0.409686,-0.563838,0.091332,0.171048,-0.539288,0.431061,0,0,0,0,0,1,-0.327381,0.525292,0.079754,-0.216032,0.499259,-0.560892,3.526289,-8.120719,-2.726055,0.489654,-9.242715,16.073546,5.648917,-5.945747,-9.456874,1.424298,-5.945747,14.275154,0.308447,-0.308447,-0.141092,0.308447,-0.308447,0.423276,777.606934,-705.561096,-101.453964,457.077576,173.521515,-385.015747,6.64078,12.434517,10.639446,9.124833,12.434517,-0.668019,99,D,7.720544,2,12,-2,4,1,0.5,0.338,-3.14,0,317.378,211.176,251.022,218.298,0.028167
-0.287472,-0.288725,-0.287746,0.614171,-0.289119,0.538892,0.2209,0.243842,0.289157,-0.837042,0.269646,-0.186503,-0.276746,-0.262165,-0.322683,0.614567,-0.290222,0.537248,-1.601514,-10.915526,-1.336619,14.8146,-14.48977,13.528829,-6.918481,-3.380461,-12.248696,12.614818,-0.628589,10.561409,0.021288,-0.208669,-0.208669,0.460896,-0.305938,0.460896,-123.382156,-347.322021,83.692238,202.501526,-21.42934,-228.489777,7.585728,10.367309,8.878343,-1.839896,11.907826,-1.114174,99,L,7.137297,3,16,-1,3,3,0.312,0.229,1.62,0,913.571,571.728,726.584,592.33,0.014313
-0.47755,-0.132447,0.448328,0.436286,-0.540641,0.266023,-0.468023,-0.332982,-0.237499,-0.237499,-0.568159,0.484212,-0.391061,0.093356,0.466373,0.426804,-0.659259,0.063787,-9.720591,-0.039625,1.120794,7.743786,-13.802733,14.698367,2.105931,-6.678054,-9.478358,-6.298561,13.89066,6.458383,0.46515,0.011707,-0.220721,-0.220721,0.46515,-0.326967,437.441345,-559.949707,-80.800407,-834.940979,162.455124,-316.692566,2.058642,5.44189,11.10534,11.10534,-1.314505,7.127258,101,D,5.416052,1,18,-3,3,2,0.611,0.56,-0.56,0,621.656,358.475,540.345,392.108,0.031111
