1,2,3,4,5,tip_pos,protrusion,length,total_charge,nr_charged,Happiness_mean,Nr_sad,identity,similarity,Hydropathy,Hydropathy_diff,Access,Relacc,Scacc,Screlacc,Access_avg,Relacc_avg,Scacc_avg,Screlacc_avg,simlength,local_CA_nom
0.0,0.0,0.0,0.0,0.0,101,5.189882,4,1,1,0.947,0,0.5,0.138,0.66,0.14,77.759,45.175,64.32600000000001,43.90600000000001,19.43975,11.29375,16.0815,10.9765,0.0345,>0<1
1.0,0.08333333333333333,0.0,0.0,0.0,101,4.620253,10,0,2,0.879,1,0.5,0.407,-1.94,0.0,381.03,221.498,342.338,241.643,38.103,22.1498,34.2338,24.1643,0.0407,>1<2
1.0,1.0,0.5,0.0,0.0,99,6.467406,12,-1,1,0.8009999999999999,0,0.5,0.403,2.68,0.0,716.248,543.9169999999998,0.0,0.0,59.687333,45.326417,0.0,0.0,0.033583,>2<3
1.0,1.0,1.0,0.5,0.0,99,5.840404,14,2,2,0.8320000000000001,1,0.429,0.429,-1.14,0.0,677.602,419.458,526.685,359.42,48.400143,29.961286,37.620357,25.672857,0.030643,>3<4
0.75,0.8333333333333334,0.0,0.0,0.0,99,7.561247,11,2,6,0.723,3,0.909,0.918,-5.6,0.0,474.194,253.322,411.798,269.853,43.108545,23.029273,37.436182,24.532091,0.083455,>1<2
1.0,1.0,0.8333333333333334,1.0,0.0,101,5.0030220000000005,11,0,4,0.8370000000000001,0,0.455,0.257,-2.56,0.0,389.405,240.509,323.933,234.948,35.400455,21.864455,29.448455,21.358909,0.023364,>4<50
0.875,0.0,0.0,0.0,0.0,98,7.036131,7,0,0,0.8909999999999999,0,0.28600000000000003,0.03,-0.1,0.24,215.837,170.083,177.607,196.43400000000003,30.833857,24.297571,25.372429,28.062,0.004286,>0<1
1.0,1.0,0.9166666666666666,0.0,0.0,99,5.675952,12,-2,4,0.888,0,0.5,0.42,-0.73,0.71,473.898,269.914,411.119,289.809,39.4915,22.492833,34.259917,24.15075,0.035,>2<3
1.0,0.5,0.0,0.0,0.0,98,5.527195,13,-3,3,0.861,0,0.615,0.5,-0.15,0.0,670.424,356.371,555.038,364.789,51.571077,27.413154,42.695231,28.060692,0.038462,>1<2
0.0,0.0,0.0,0.0,0.0,101,6.585883,5,-1,1,0.921,0,0.8,0.8240000000000001,0.08,0.0,257.66,160.787,191.277,151.893,51.532,32.1574,38.2554,30.3786,0.1648,>0<1
1.0,1.0,0.4166666666666667,0.0,0.0,99,7.937966,9,-2,2,0.899,0,0.556,0.411,-1.34,0.0,422.752,216.938,357.338,225.362,46.972444,24.104222,39.704222,25.040222,0.045667,>2<3
0.25,0.08333333333333333,0.0,0.0,0.0,99,11.584245,15,-1,3,0.826,0,0.667,0.735,0.52,0.52,642.905,393.285,470.901,305.757,42.860333,26.219,31.3934,20.3838,0.049,>0<1
1.0,1.0,1.0,0.6666666666666666,0.0,98,5.922808,14,-1,3,0.8540000000000001,1,0.35700000000000004,0.273,0.68,0.0,364.335,209.892,293.873,211.221,26.023929000000006,14.992285999999998,20.990929,15.087214,0.0195,>3<4
1.0,0.5,0.0,0.0,0.0,99,4.975828,8,-1,1,0.92,0,0.5,0.292,1.5,0.0,169.38299999999995,104.438,114.18,70.429,21.172875,13.05475,14.2725,8.803625,0.0365,>1<2
1.0,1.0,1.0,0.0,0.0,101,5.333028,13,-1,3,0.866,1,0.5379999999999999,0.377,-1.86,0.0,527.418,289.985,508.653,395.642,40.570615,22.306538,39.127154,30.434,0.029,>3<4
0.125,0.0,0.0,0.0,0.0,99,5.964531,21,2,4,0.815,3,0.857,0.882,-0.52,0.0,1209.933,762.09,945.487,670.505,57.615857,36.29,45.02319,31.92881,0.042,>0<1
1.0,0.9166666666666666,0.0,0.0,0.0,101,4.990048000000002,19,0,4,0.88,1,0.263,0.019,0.13,0.28,1167.746,705.5880000000002,871.47,668.1089999999998,61.46031600000001,37.136211,45.866842,35.163632,0.001,>1<2
1.0,1.0,0.6666666666666666,0.0,0.0,101,5.193234,13,-2,4,0.8009999999999999,1,0.462,0.275,-3.28,0.52,296.001,178.954,218.121,138.614,22.769308,13.765692,16.778538,10.662615,0.021154,>2<3
1.0,1.0,1.0,0.5833333333333334,0.0,101,5.552448,11,0,2,0.797,1,0.273,0.05,-2.79,0.51,168.04,104.133,122.37,98.341,15.276364,9.466636,11.124545,8.940091,0.004545,>3<4
1.0,1.0,0.3333333333333333,0.0,0.0,99,5.537949,12,4,6,0.755,2,0.417,0.192,-4.96,0.0,419.422,196.138,363.15,199.752,34.951833,16.344832999999998,30.2625,16.646,0.016,>2<3
1.0,0.08333333333333333,0.0,0.0,0.0,99,5.563497,9,-2,2,0.878,0,0.556,0.519,-1.5,0.0,208.712,119.433,180.53,127.065,23.190222,13.270333,20.058889,14.118332999999998,0.057667,>1<2
1.0,1.0,1.0,0.9166666666666666,0.8181818181818182,99,7.857034,19,2,4,0.872,0,0.316,0.154,-2.21,0.52,853.215,510.723,697.952,514.104,44.906053,26.880158,36.734316,27.058105,0.008105,>4<50
1.0,1.0,1.0,0.6666666666666666,0.0,100,9.658199,12,-1,3,0.8059999999999999,1,0.5,0.423,-3.27,0.0,595.044,331.591,463.677,308.332,49.587,27.632583,38.63975,25.694333,0.03525,>3<4
0.5,0.0,0.0,0.0,0.0,98,6.133811,9,-1,1,0.746,1,0.444,0.275,1.12,0.59,363.56,208.295,301.565,204.297,40.395556,23.143889,33.507222,22.699667,0.030556,>0<1
0.0,0.0,0.0,0.0,0.0,101,4.83554,11,-3,3,0.8909999999999999,0,0.909,0.956,-0.44,0.0,412.395,249.452,328.134,227.836,37.490455,22.677455,29.830364000000007,20.712364,0.086909,>0<1
0.375,0.0,0.0,0.0,0.0,99,11.164604,14,1,3,0.8959999999999999,0,0.929,0.8959999999999999,-0.07,0.0,707.544,558.6030000000002,409.133,317.337,50.538857,39.900214,29.223786,22.666929,0.064,>0<1
0.375,0.0,0.0,0.0,0.0,99,5.3698169999999985,8,-2,2,0.8740000000000001,0,0.5,0.333,0.35,0.71,97.149,59.424,76.736,58.489,12.143625,7.428,9.592,7.311125,0.041625,>0<1
1.0,0.4166666666666667,0.0,0.0,0.0,101,4.784946,12,2,4,0.816,1,0.917,0.954,-2.63,0.0,332.875,192.547,245.071,160.584,27.739583000000003,16.045582999999993,20.422583,13.382,0.0795,>1<2
1.0,1.0,0.4166666666666667,0.0,0.0,99,5.024062000000002,10,-1,1,0.905,0,0.6,0.517,-0.09,0.0,402.316,200.97,368.345,223.852,40.2316,20.097,36.8345,22.3852,0.0517,>2<3
1.0,1.0,0.25,0.0,0.0,98,8.784532,6,1,1,0.746,1,0.5,0.273,-1.04,0.62,199.579,145.409,151.17,134.951,33.263167,24.234833,25.195,22.491833,0.0455,>2<3
1.0,0.9166666666666666,1.0,0.3333333333333333,0.0,99,8.696941,10,0,2,0.845,1,0.7,0.7,-0.68,0.0,225.914,129.751,197.323,134.394,22.5914,12.9751,19.7323,13.4394,0.07,>3<4
1.0,1.0,1.0,1.0,1.0,98,6.7459570000000015,18,-2,6,0.858,0,0.222,-0.071,-2.65,0.19,332.001,245.526,209.779,167.39,18.4445,13.640332999999998,11.654389,9.299444,-0.003944,>4<50
1.0,0.8333333333333334,0.0,0.0,0.0,101,5.885961,7,0,0,0.96,0,0.429,0.261,1.67,0.0,150.928,97.394,110.985,62.562,21.561143,13.913429,15.855,8.937429,0.037286,>1<2
1.0,1.0,0.3333333333333333,0.0,0.0,101,5.140026,13,1,3,0.91,0,0.462,0.25,0.31,0.14,674.321,383.481,534.9780000000002,309.139,51.870846,29.498538,41.152154,23.779923,0.019231,>2<3
1.0,1.0,0.9166666666666666,0.0,0.0,101,5.199599,13,2,4,0.7959999999999999,2,0.462,0.384,-4.02,0.0,272.232,137.879,256.094,161.439,20.940923,10.606077,19.699538,12.418385,0.029538,>2<3
0.0,0.0,0.0,0.0,0.0,101,3.5870580000000003,3,1,1,0.85,0,0.333,0.278,-0.05,0.59,54.032,32.899,37.576,27.645,18.010667,10.966333,12.525333,9.215,0.092667,>0<1
1.0,1.0,0.3333333333333333,0.0,0.0,97,5.511037,8,1,1,0.93,0,0.625,0.62,1.06,0.0,274.788,179.44400000000005,162.656,101.758,34.3485,22.4305,20.332,12.71975,0.0775,>2<3
1.0,1.0,1.0,0.9166666666666666,0.18181818181818182,99,7.450528999999999,14,1,3,0.8740000000000001,0,0.429,0.247,-0.81,0.66,473.793,348.56699999999995,281.698,233.8,33.842357,24.897643,20.121286,16.7,0.017643,>4<50
1.0,1.0,0.25,0.0,0.0,101,5.128278,11,-2,2,0.913,0,0.909,0.913,-0.67,0.0,573.9019999999998,349.532,477.34,313.023,52.172909,31.775636,43.394545,28.456636,0.083,>2<3
1.0,0.8333333333333334,0.0,0.0,0.0,98,6.6980070000000005,9,0,0,0.889,0,0.444,0.44,-0.4,0.0,308.488,186.916,256.314,158.376,34.276444,20.768444,28.479333,17.597333,0.048889,>1<2
1.0,1.0,0.75,0.0,0.0,99,6.051143,14,-1,1,0.8,1,0.35700000000000004,0.18600000000000005,2.72,0.0,781.563,440.669,663.625,466.382,55.825929,31.476357,47.401786,33.313,0.013286,>2<3
1.0,0.6666666666666666,0.0,0.0,0.0,99,6.214631,10,0,0,0.957,0,0.6,0.424,1.36,0.0,427.502,253.895,332.641,196.149,42.7502,25.3895,33.2641,19.6149,0.0424,>1<2
1.0,1.0,1.0,0.08333333333333333,0.0,100,4.518633,11,-1,1,0.8759999999999999,0,0.364,0.185,0.11,0.0,370.533,212.387,337.06699999999995,249.736,33.684818,19.307909,30.642455,22.703273,0.016818,>3<4
1.0,1.0,0.9166666666666666,0.0,0.0,100,4.902752,14,-1,1,0.941,0,0.35700000000000004,0.195,0.02,0.0,805.302,427.705,701.605,468.23800000000006,57.521571,30.550357,50.114643,33.445571,0.013929,>2<3
1.0,1.0,1.0,0.0,0.0,99,9.132463,13,2,4,0.764,2,0.385,0.185,-4.31,0.71,585.174,293.543,524.237,321.164,45.013385,22.580231,40.325923,24.704923,0.014231,>3<4
1.0,1.0,0.16666666666666666,0.0,0.0,98,5.652399,14,1,5,0.782,3,0.35700000000000004,0.282,-4.03,0.0,426.486,253.481,309.053,223.274,30.463286,18.105786,22.075214000000006,15.948143,0.020143,>2<3
1.0,0.4166666666666667,0.0,0.0,0.0,101,4.4394160000000005,10,-2,2,0.877,0,0.6,0.509,-0.73,0.0,248.818,148.332,210.929,147.662,24.8818,14.8332,21.0929,14.7662,0.0509,>1<2
1.0,0.75,0.5,0.0,0.0,101,5.434957,7,-3,3,0.787,0,0.7140000000000001,0.591,-2.6,0.0,120.629,69.431,92.891,58.097,17.232714,9.918714,13.270143,8.299571,0.08442899999999999,>2<3
0.0,0.0,0.0,0.0,0.0,99,6.977356,20,-1,5,0.872,0,0.95,0.952,-2.9,0.0,621.28,347.0490000000001,483.459,328.246,31.064,17.35245,24.17295,16.4123,0.0476,>0<1
1.0,0.5833333333333334,0.0,0.0,0.0,99,4.999034,10,0,2,0.887,0,0.6,0.5710000000000001,-1.9,0.0,330.766,172.84599999999998,279.867,178.655,33.0766,17.2846,27.9867,17.8655,0.0571,>1<2
1.0,0.3333333333333333,0.0,0.0,0.0,98,5.542421,10,1,1,0.838,2,0.5,0.333,-0.29,0.0,390.9,217.359,320.888,212.096,39.09,21.7359,32.0888,21.2096,0.0333,>1<2
0.125,0.16666666666666666,0.0,0.0,0.0,99,6.491485,10,-2,2,0.928,0,0.6,0.593,-0.16,0.0,396.198,242.534,329.894,213.218,39.6198,24.2534,32.9894,21.3218,0.0593,>0<1
1.0,0.4166666666666667,0.0,0.0,0.0,98,6.945071,9,-1,3,0.8170000000000001,1,0.667,0.509,-2.39,0.0,283.28,151.385,240.928,142.05100000000004,31.475556,16.820556,26.769778,15.783444,0.056556,>1<2
0.0,0.0,0.0,0.0,0.0,98,7.012252,10,-1,1,0.941,0,0.9,0.925,-0.16,0.0,361.211,230.284,304.1090000000001,251.474,36.1211,23.0284,30.4109,25.1474,0.0925,>0<1
1.0,1.0,0.5833333333333334,0.0,0.0,99,6.903696000000001,8,-1,1,0.932,0,0.5,0.375,-0.16,0.0,357.045,219.954,283.266,208.568,44.630625,27.49425,35.40825,26.071,0.046875,>2<3
0.125,0.0,0.0,0.0,0.0,101,5.122573,4,0,2,0.758,1,0.5,0.483,-2.13,0.0,211.209,101.793,189.661,109.176,52.80225,25.44825,47.41525,27.294,0.12075,>0<1
1.0,1.0,1.0,1.0,0.45454545454545453,99,9.360794,11,-1,3,0.818,1,0.545,0.452,-1.38,0.0,856.788,570.45,568.999,417.024,77.889818,51.859091,51.727182,37.911273,0.041091,>4<50
1.0,0.4166666666666667,0.0,0.0,0.0,99,6.508998,13,0,2,0.912,0,0.5379999999999999,0.402,-0.1,0.0,529.928,348.459,393.629,290.19,40.763692,26.804538,30.279154,22.322308,0.030923000000000006,>1<2
1.0,0.6666666666666666,0.0,0.0,0.0,99,5.652239,10,-2,4,0.7609999999999999,1,0.6,0.5,-2.78,0.0,179.90200000000004,95.314,155.013,97.84,17.9902,9.5314,15.5013,9.784,0.05,>1<2
1.0,1.0,1.0,0.8333333333333334,0.0,101,4.5729190000000015,18,4,6,0.818,2,0.222,0.027000000000000003,-3.81,0.24,502.932,326.953,405.253,316.512,27.940667,18.164056,22.514056,17.584,0.0015,>3<4
1.0,1.0,0.16666666666666666,0.0,0.0,101,7.172183,7,0,0,0.964,0,0.7140000000000001,0.722,1.64,0.0,123.495,71.479,93.2,58.181,17.642143,10.211286,13.314286,8.311571,0.103143,>2<3
1.0,0.8333333333333334,0.0,0.0,0.0,99,5.113805,10,0,2,0.889,0,0.7,0.545,0.65,0.0,188.746,113.117,156.674,115.617,18.8746,11.3117,15.6674,11.5617,0.0545,>1<2
1.0,1.0,0.8333333333333334,0.0,0.0,101,5.038284,10,-1,3,0.82,1,0.6,0.517,-1.15,0.0,369.9980000000001,190.026,334.9430000000001,204.30900000000003,36.9998,19.0026,33.4943,20.4309,0.0517,>2<3
1.0,1.0,0.8333333333333334,0.0,0.0,100,8.158581,12,-2,2,0.931,0,0.5,0.31,2.38,0.52,439.244,301.96,421.667,393.141,36.603667,25.163333,35.138917,32.76175,0.025833,>2<3
1.0,0.5833333333333334,0.0,0.0,0.0,101,4.906733999999998,10,3,3,0.87,0,0.6,0.581,-2.5,0.0,612.441,309.515,531.475,322.42,61.2441,30.9515,53.1475,32.242,0.0581,>1<2
0.75,0.0,0.0,0.0,0.0,99,6.533773,11,-2,2,0.8909999999999999,0,0.909,0.913,-0.67,0.0,523.7909999999998,356.61,351.6980000000001,228.437,47.617364,32.419090999999995,31.972545,20.767,0.083,>0<1
1.0,0.4166666666666667,0.0,0.0,0.0,101,5.696903,11,-2,2,0.905,0,0.909,0.913,-0.67,0.0,461.68300000000005,280.733,380.347,233.504,41.971182,25.521182,34.577,21.227636,0.083,>1<2
0.0,0.0,0.0,0.0,0.0,101,4.909964,11,-3,3,0.883,0,0.909,0.956,-0.44,0.0,230.129,149.82299999999995,174.91299999999995,123.749,20.920818,13.620273,15.901182,11.249909,0.086909,>0<1
0.75,0.16666666666666666,0.0,0.0,0.0,99,10.59288,12,1,3,0.778,1,0.667,0.662,0.03,0.0,608.1,339.7580000000001,459.656,273.86400000000003,50.675,28.313167,38.304667,22.822,0.055167,>0<1
1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,99,5.06982,13,0,4,0.871,1,0.5379999999999999,0.405,-1.41,0.0,400.018,200.213,352.5,207.208,30.770615000000006,15.401,27.115385,15.939077,0.031154,>1<2
0.875,1.0,0.0,0.0,0.0,101,4.385086,10,0,2,0.7759999999999999,2,0.7,0.755,-0.48,0.0,371.021,218.583,299.992,220.488,37.1021,21.8583,29.9992,22.0488,0.0755,>2<3
1.0,1.0,0.8333333333333334,0.0,0.0,99,8.45472,11,-1,1,0.899,0,0.636,0.4920000000000001,0.26,0.0,400.416,282.971,263.367,189.708,36.401455,25.724636,23.942455,17.246182,0.044727,>2<3
0.5,0.0,0.0,0.0,0.0,98,5.133107,7,-1,1,0.8490000000000001,0,0.7140000000000001,0.469,1.14,0.0,497.309,253.988,415.941,246.452,71.044143,36.284,59.420143,35.207429,0.067,>0<1
1.0,1.0,1.0,1.0,0.2727272727272727,101,5.026086,16,4,6,0.7609999999999999,2,0.25,-0.019,-5.2,0.33,704.123,355.642,623.785,377.271,44.007687,22.227625,38.986563,23.579438,-0.001187,>4<50
0.25,0.0,0.0,0.0,0.0,99,6.761610000000001,24,3,5,0.778,3,0.958,0.931,-2.42,0.0,1405.5,846.127,1054.84,732.428,58.5625,35.255292,43.951667,30.517833000000003,0.038792,>0<1
1.0,1.0,0.9166666666666666,0.5833333333333334,0.0,99,7.618266999999999,17,0,4,0.8740000000000001,1,0.706,0.75,-1.76,0.0,962.399,573.5740000000002,809.7639999999999,591.4540000000002,56.61170600000001,33.739647,47.633176,34.791412,0.044118,>3<4
1.0,1.0,0.16666666666666666,0.0,0.0,99,8.214649,12,-2,2,0.82,1,0.5,0.338,0.09,0.24,548.377,353.69699999999995,341.5680000000001,270.34,45.698083,29.47475,28.464,22.528333,0.028167,>2<3
1.0,1.0,0.25,0.0,0.0,99,5.547869,13,-1,3,0.848,1,0.5379999999999999,0.382,-2.45,0.0,323.288,231.025,232.441,164.658,24.868308,17.771154,17.880077,12.666,0.029385,>2<3
0.0,0.0,0.0,0.0,0.0,101,6.4913370000000015,5,-2,2,0.892,0,0.8,0.778,-0.89,0.0,233.667,139.168,166.65400000000002,122.958,46.7334,27.8336,33.3308,24.5916,0.1556,>0<1
1.0,0.5,0.0,0.0,0.0,97,7.040941,5,-1,3,0.848,0,0.2,-0.29600000000000004,-1.98,0.05,411.474,251.347,311.336,235.99,82.2948,50.2694,62.2672,47.198,-0.0592,>1<2
1.0,0.9166666666666666,0.25,0.0,0.0,97,6.4178169999999986,5,-1,3,0.848,0,0.6,0.452,-1.29,0.0,279.401,166.592,229.226,174.465,55.8802,33.3184,45.8452,34.893,0.0904,>2<3
1.0,0.9166666666666666,0.0,0.0,0.0,101,6.436268,5,-1,1,0.924,0,0.6,0.424,0.51,0.07,181.645,134.886,93.081,79.643,36.329,26.9772,18.6162,15.9286,0.0848,>1<2
1.0,1.0,1.0,1.0,0.18181818181818182,101,5.4322300000000014,18,-2,4,0.908,0,0.333,0.147,-0.26,0.52,530.943,313.061,413.909,308.213,29.496833,17.392278,22.994944,17.122944,0.008167,>4<50
1.0,1.0,0.0,0.0,0.0,99,5.289474,9,-1,3,0.885,0,0.556,0.537,-0.39,0.52,314.731,215.708,248.26,209.715,34.970111,23.967556,27.584444,23.301667,0.059667,>2<3
1.0,1.0,0.5833333333333334,0.0,0.0,98,7.1545770000000015,15,-1,1,0.935,0,0.333,0.156,1.57,0.24,231.897,157.45600000000005,134.755,109.797,15.4598,10.497067,8.983667,7.3198,0.0104,>2<3
1.0,0.9166666666666666,0.0,0.0,0.0,100,7.350766,12,1,3,0.866,1,0.333,0.162,-2.87,0.0,456.406,324.307,338.07199999999995,297.425,38.033833,27.025583,28.172667,24.785417,0.0135,>1<2
1.0,1.0,0.0,0.0,0.0,99,6.702044,11,0,2,0.8140000000000001,1,0.545,0.277,-2.12,0.0,427.496,248.061,389.206,281.04,38.863273,22.551,35.382364,25.549091,0.025182,>2<3
1.0,1.0,1.0,1.0,0.0,98,7.538546000000001,18,2,4,0.875,1,0.278,0.136,-1.97,0.0,624.844,345.901,530.357,365.577,34.713556,19.216722,29.464278000000004,20.309833,0.007556,>4<50
1.0,1.0,0.25,0.0,0.0,101,4.759121,11,-1,5,0.879,0,0.545,0.312,-1.74,0.14,367.872,220.136,324.511,231.908,33.442909,20.012364,29.501,21.082545,0.028364,>2<3
1.0,1.0,1.0,0.8333333333333334,0.36363636363636365,99,9.267887,13,-1,3,0.7879999999999999,1,0.308,0.232,1.26,0.2,698.066,419.694,552.428,425.621,53.697385,32.284154,42.494462,32.740077,0.017846,>4<50
1.0,0.16666666666666666,0.0,0.0,0.0,99,5.158124,9,-1,1,0.908,0,0.667,0.618,-0.41,0.0,436.908,229.824,398.55300000000005,241.07,48.545333,25.536,44.283667,26.785556,0.06866699999999999,>1<2
1.0,0.5,0.0,0.0,0.0,99,5.887521,10,-1,5,0.764,1,0.5,0.28800000000000003,-2.72,0.51,305.41,185.375,248.668,194.155,30.541,18.5375,24.8668,19.4155,0.0288,>1<2
0.875,0.08333333333333333,0.0,0.0,0.0,99,6.672205,10,0,2,0.878,1,0.6,0.4920000000000001,1.13,0.0,261.389,160.629,222.512,155.591,26.1389,16.0629,22.2512,15.5591,0.0492,>0<1
1.0,1.0,0.25,0.0,0.0,98,6.293642,9,-2,2,0.887,0,0.444,0.426,-0.67,0.0,113.249,69.419,111.613,91.19,12.583222,7.713222,12.401444,10.132222,0.047333,>2<3
1.0,0.9166666666666666,0.0,0.0,0.0,101,5.297727,12,-1,3,0.8240000000000001,2,0.417,0.387,-1.28,0.01,171.247,113.736,106.459,80.619,14.270582999999998,9.478,8.871583,6.71825,0.03225,>1<2
1.0,0.5,0.0,0.0,0.0,97,4.944448,8,-1,1,0.915,0,0.625,0.5710000000000001,0.22,0.0,268.9,163.364,224.073,172.438,33.6125,20.4205,28.009125,21.55475,0.071375,>1<2
1.0,1.0,0.5833333333333334,0.0,0.0,99,6.8247589999999985,12,0,2,0.9,0,0.5,0.297,-0.13,0.0,479.278,291.4190000000001,467.465,399.97,39.939833,24.284917,38.955417,33.330833,0.02475,>2<3
1.0,0.08333333333333333,0.0,0.0,0.0,98,5.152998,7,1,1,0.933,0,0.5710000000000001,0.415,0.8,0.0,91.362,61.417,74.109,51.144,13.051714,8.773857000000001,10.587,7.306286,0.059286,>1<2
1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,98,7.219661,8,-2,2,0.866,0,0.5,0.377,-0.33,0.0,358.639,181.7,295.717,179.297,44.829875,22.7125,36.964625,22.412125,0.047125,>1<2
1.0,0.6666666666666666,0.0,0.0,0.0,101,4.870403,10,-1,1,0.8740000000000001,0,0.6,0.475,0.26,0.0,403.858,273.418,308.883,233.54,40.3858,27.3418,30.8883,23.354,0.0475,>1<2
1.0,1.0,1.0,0.0,0.0,99,8.038306,15,0,2,0.861,0,0.267,0.08,0.3,0.08,674.552,464.134,472.99,384.965,44.970133,30.942267,31.532667,25.664333,0.005333,>3<4
1.0,1.0,0.4166666666666667,0.0,0.0,98,4.532768,12,-1,1,0.944,0,0.333,0.077,0.69,0.0,356.076,220.478,313.851,262.085,29.673,18.373167,26.15425,21.840417,0.006417,>2<3
1.0,1.0,0.5,0.0,0.0,101,6.275124,12,1,1,0.875,0,0.25,0.03,-0.67,0.1,202.232,138.17600000000002,150.585,124.704,16.852667,11.514667,12.54875,10.392,0.0025,>2<3
1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,99,5.012963,14,0,4,0.8009999999999999,1,0.429,0.494,-4.29,0.0,710.691,383.167,610.891,374.73,50.763643,27.369071,43.635071,26.766429,0.035286,>3<4
0.375,0.0,0.0,0.0,0.0,98,6.401624,10,-2,2,0.927,0,0.6,0.509,-0.33,0.02,267.074,200.49400000000003,211.58,222.948,26.7074,20.0494,21.158,22.2948,0.0509,>0<1
1.0,1.0,0.25,0.0,0.0,101,5.304481,10,1,3,0.764,1,0.5,0.396,-3.41,0.0,514.4119999999998,308.955,461.485,357.009,51.4412,30.8955,46.1485,35.7009,0.0396,>2<3
